CATEGORY,Column1,MRP,INVOICE RATE,SCHEME,AFTER SCHEME DEDCTION RATE,SEMI WS RATE5 (2%),RETAIL RATE(3%),RATE (5%)
NAMKEEN,N1118 Chatkeen Corn Flake Mix 15g X 360p,5,1474.41,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1364 Chatkeen Aloo Bhujia 1 kg  x 10P,290,1865.17,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1365 Chatkeen Bhujia Sev 1 kg  x 10 P,290,1931.09,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1366 Chatkeen Hot N Spicy 1 kg  x 10 P,290,1865.17,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1426 Chatkeen AlooBhujia  500gx20p Ecom,200,3139.91,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1427 Chatkeen BhujiaSev  500gx20p Ecom,200,3139.91,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1428 Chatkeen MoongDal  500g x 20p Ecom,225,3532.41,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1432 Chatkeen HotNSpicy  530gx20p Ecom,200,3139.91,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1433 Chatkeen KT Meetha  530gx20p Ecom,200,3139.91,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1520 Chatkeen Moong Dal 400g X 24p,128,2147.81,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1537 Chatkeen Bhujia Sev 13.3+2.7gX504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1538 Chatkeen AlooBhujia 13.3+2.7gX504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1539 Chatkeen HotnSpicy 13.3+2.7gX504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1540 Chatkeen KT Meetha 13.3+2.7gX504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1541 Chatkeen Tas Peanut 13.3+2.7gX504p,5,1945.73,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
